z (m),u (m/s),V (1/s),T (K),P (Pa),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.011458333333333334,2.6360771980263222,-2.0453247395516972e-123,2108.8252164097994,101325.0,0.15723697834465747,0.007425318338610082,0.0019540767426850787,0.0010491026344727323,0.010835072456058461,0.00617158657001493,0.17518454836186154,1.8972551424696916e-06,1.1976268175231626e-07,2.7684369614691747e-17,3.2104015129567376e-17,7.6157272712281384e-17,6.1634694194863198e-18,4.1785823088258973e-16,9.7145159222803248e-17,0.016505938544743158,0.076904241332516846,7.8444105321264947e-09,4.5517951204290393e-11,1.006348966655087e-15,3.3941656023574623e-17,2.8959735367678286e-17,2.096859778375475e-23,3.0791366728903481e-21,1.8907173715220065e-25,9.9366302953965747e-26,0.0,0.0,2.4381624454772783e-19,6.164598713170197e-19,1.0687020464351939e-22,6.0145335936304882e-09,1.1825155427856407e-09,1.4715723380631864e-10,1.5114870297775034e-10,3.514235994305058e-09,3.9431828312595531e-05,6.2570573316392344e-09,1.1672062934030214e-07,2.2418966476926199e-09,1.2051714047498896e-14,2.301746845857764e-12,5.8487257250008351e-18,1.7287180387328085e-20,2.7409721856817083e-18,5.2076947991823896e-14,1.3346068148813188e-11,2.1089390206666855e-12,0.70392852203597489,0.0,0.0,0.0,2.2999320121525085e-23,3.0480976713301492e-25
0.011583333333333334,2.6421221502613159,-2.0453247497382761e-123,2114.3788113673145,101324.99999999997,0.15687725281050793,0.0072530255035170126,0.0018542954331474241,0.00099998071949468598,0.010592800178935439,0.0060626408819554126,0.17558793437965403,1.8144328449825619e-06,1.1580237218588762e-07,2.7116970273025687e-17,2.9844477881572355e-17,6.9739500855472275e-17,5.5307286782933283e-18,3.7842090781922369e-16,8.9611349760107701e-17,0.016212552004493612,0.077234055178947103,7.2746240760265943e-09,4.3747842074112487e-11,9.0735830614659979e-16,3.0891713194936557e-17,2.689594545547111e-17,1.9675425425599362e-23,2.9201312271152269e-21,1.652234512844202e-25,8.6756150038267441e-26,0.0,0.0,2.2961068815119755e-19,5.6430183462510105e-19,1.0360238495732909e-22,6.0480742444324941e-09,1.1371011375725645e-09,1.4757943610197713e-10,1.5576018684719916e-10,3.34703722068337e-09,4.0334489991998179e-05,6.460792932942506e-09,1.1681499510832819e-07,2.2268060498991382e-09,1.1283439694505501e-14,2.1160732231065138e-12,5.0115047465266233e-18,1.5835015610685736e-20,2.8316807704704735e-18,5.2635570566705014e-14,1.3797317121436068e-11,2.1354032767620678e-12,0.70416030732001356,0.0,0.0,0.0,1.9550616345178605e-23,2.6329074968138028e-25
0.011708333333333334,2.647714744060417,-2.0453247599083451e-123,2119.5277419975691,101325.0,0.15654590859692954,0.0070919901708694109,0.0017640100905504724,0.00095523457769160474,0.010366205028508223,0.005959281484971604,0.17596206228052441,1.7393061755039538e-06,1.1219524837133316e-07,2.6698318858076091e-17,2.7846964628677437e-17,6.4199267125311984e-17,4.99715383090273e-18,3.4482336223923664e-16,8.3146583666412845e-17,0.015934401160181175,0.077546316798453016,6.7700001825840766e-09,4.2117469674891116e-11,8.2220052192962855e-16,2.824099680338419e-17,2.5070111428339496e-17,1.8520429882239157e-23,2.7779673842330715e-21,1.4557768135079386e-25,7.6374840719593529e-26,0.0,0.0,2.1702035579361235e-19,5.1915483501531484e-19,1.0068684889940152e-22,6.0767934153853922e-09,1.0964243408940994e-09,1.4804768520613364e-10,1.6034666723176713e-10,3.1948653136153001e-09,4.1218126350053749e-05,6.6621043681720857e-09,1.1686998293774115e-07,2.2128647601056391e-09,1.0932355537077995e-14,2.0427334376113367e-12,4.5269503126296077e-18,1.4573254980421086e-20,2.9688267689796313e-18,5.4260288224980226e-14,1.4277039108037979e-11,2.1650228943550813e-12,0.70437728552837753,0.0,0.0,0.0,1.6770495514459978e-23,2.2921857554718308e-25
0.011833333333333335,2.6529028608710212,-2.0453247700591526e-123,2124.3137822945218,101325.00000000001,0.15623977701342126,0.0069411927906650114,0.0016820191283841656,0.00091434724843343174,0.010153858188796621,0.0058611697685825434,0.17630990841052044,1.6709201493336752e-06,1.0889655793356089e-07,2.6384257452098031e-17,2.6070054870752542e-17,5.9383788143346229e-17,4.5435202822713123e-18,3.1599706893186315e-16,7.7559533017097468e-17,0.01567051426322499,0.07784219947950459,6.3210785282277396e-09,4.0611855011797451e-11,7.4849354347603513e-16,2.5924520687249433e-17,2.3446703994681452e-17,1.7484483254957989e-23,2.6502547219633438e-21,1.2923019910681039e-25,6.7740737237327731e-26,0.0,0.0,2.0579688496001633e-19,4.798289570442239e-19,9.8073796347711267e-23,6.1010583827650607e-09,1.059823236595929e-09,1.4855551524726649e-10,1.6490673576263073e-10,3.0559290782585605e-09,4.2083766401874171e-05,6.8609080998257327e-09,1.1688897786150659e-07,2.1999953456363295e-09,1.0774437545728794e-14,2.0219344525243793e-12,4.2080384936095849e-18,1.3469137399025187e-20,3.1283247732605429e-18,5.6410673931521025e-14,1.4770352950559875e-11,2.1957282076842714e-12,0.70458078427787796,0.0,0.0,0.0,1.4506089309204681e-23,2.0100995232856766e-25
0.011958333333333335,2.6577269837353108,-2.0453247801906987e-123,2128.7724299329961,101324.99999999999,0.15595619527122087,0.0067997414857653713,0.0016073149902720491,0.00087688040213969027,0.0099545260394992216,0.0057679914913934842,0.17663400757877928,1.6084725377835637e-06,1.0586920295625791e-07,2.6146071512605175e-17,2.4480809185570891e-17,5.5171912851590152e-17,4.1549458898439339e-18,2.9110147660581834e-16,7.2698845478138457e-17,0.015419987067880152,0.078122786963558719,5.9200677346447637e-09,3.9218145863926867e-11,6.8434050056316682e-16,2.3889919953491415e-17,2.1996718662488044e-17,1.6551414999318014e-23,2.5349833472089082e-21,1.1550095597408481e-25,6.0490675519133303e-26,0.0,0.0,1.9573776087782247e-19,4.4536830933580449e-19,9.5720217234504036e-23,6.1212321919605095e-09,1.0267510190136694e-09,1.4909687635101426e-10,1.6943776950745567e-10,2.928710837016273e-09,4.2932293581137538e-05,7.0571219132482925e-09,1.168753437380463e-07,2.1881301918516026e-09,1.070674175427675e-14,2.0259196409032603e-12,3.972661716051033e-18,1.2496931915652259e-20,3.2997891770539838e-18,5.8821840595535122e-14,1.5269617440642816e-11,2.2265407242580957e-12,0.70477197485068688,0.0,0.0,0.0,1.2644075471727079e-23,1.7745916569849591e-25
0.012083333333333335,2.662221072230071,-2.0453247903084865e-123,2132.9336415939561,101324.99999999999,0.15569293858959204,0.0066668528498406562,0.0015390486468862873,0.00084246160386082763,0.0097671540105083235,0.0056794586964187717,0.17693651298365543,1.5512880950304504e-06,1.030823133623032e-07,2.5963836331582799e-17,2.3052652040888182e-17,5.1466793931066546e-17,3.819800577376881e-18,2.6947053267299909e-16,6.8444418308606478e-17,0.015181992958224016,0.078389062870345194,5.5605171706633936e-09,3.7925271793668491e-11,6.2821862608238612e-16,2.2094687707730492e-17,2.0696326137521027e-17,1.5707662096433774e-23,2.4304781843586849e-21,1.0387336231372829e-25,5.4349135723637589e-26,0.0,0.0,1.8667753853715269e-19,4.1500499616343852e-19,9.3589813532626304e-23,6.1376544824307491e-09,9.9675293822494998e-10,1.4966590923900298e-10,1.7393592937578166e-10,2.8119193351583397e-09,4.3764446295283027e-05,7.2506652027728714e-09,1.1683234177665465e-07,2.1772108309018907e-09,1.0681191933327336e-14,2.0415783942711556e-12,3.783460259876918e-18,1.163615990861118e-20,3.4782817572008651e-18,6.1360778717719967e-14,1.5770620293981712e-11,2.2569843022964384e-12,0.70495189441482575,0.0,0.0,0.0,1.1099563691063737e-23,1.5764483275831945e-25
0.012208333333333335,2.6664130397618631,-2.0453248004042612e-123,2136.822236946186,101324.99999999999,0.15544817926294216,0.0065418362659882571,0.0014765018524698799,0.00081077407567051347,0.0095908634884491091,0.005595310049334867,0.17721923853309932,1.4987992704067059e-06,1.0051020018906453e-07,2.5822881711253423e-17,2.1763854387423334e-17,4.8190312267143329e-17,3.5289067402426041e-18,2.5057184817580147e-16,6.4699973858140554e-17,0.014955797782228004,0.078641891253590404,5.2370663284023958e-09,3.6723683116741729e-11,5.7889692877650135e-16,2.0504098550051591e-17,1.952582678663247e-17,1.4941776331527898e-23,2.3353328081592291e-21,9.3950349468483305e-26,4.9104711694538919e-26,0.0,0.0,1.7847994534599889e-19,3.8811796841865133e-19,9.1651652471506114e-23,6.1506203727594251e-09,9.6944811169578628e-10,1.5025652259482095e-10,1.7839558439974551e-10,2.70445222801575e-09,4.4580803111924338e-05,7.4414559764447888e-09,1.1676317420367574e-07,2.1671873871685033e-09,1.0674944219271779e-14,2.0626003372310277e-12,3.622652526253244e-18,1.0870330711921222e-20,3.6611544306344114e-18,6.3958130622342259e-14,1.6270735994151398e-11,2.2868121812676817e-12,0.70512146476711091,0.0,0.0,0.0,9.8082287750627794e-24,1.4085600363245932e-25
0.012333333333333335,2.6703248050322088,-2.045324810483526e-123,2140.4579212089407,101324.99999999999,0.15522047311503898,0.0064240823738191252,0.0014190631228652047,0.00078154854272795857,0.0094249701319356997,0.0055153119874398601,0.17748368490832381,1.4505323390274966e-06,9.8131631588365701e-08,2.5711655407763121e-17,2.0596355448743117e-17,4.5278548054800219e-17,3.2749274263850375e-18,2.3397344435381376e-16,6.1386619039137726e-17,0.014740798086515263,0.078881961942047024,4.9452507317382661e-09,3.5605148218549575e-11,5.353732966036393e-16,1.9089590139601379e-17,1.8468779757317141e-17,1.4243954782145999e-23,2.2483459591490545e-21,8.5422581688472564e-26,4.4592142419646958e-26,0.0,0.0,1.7103088198746939e-19,3.6419773534472506e-19,8.9878692322771739e-23,6.1603584174166389e-09,9.4451359171441572e-10,1.5086173799145821e-10,1.8280806434259188e-10,2.6053618563638098e-09,4.5381748301991143e-05,7.6294115317766814e-09,1.1667112258947505e-07,2.1580170905995265e-09,1.0676848424012935e-14,2.0858634663323865e-12,3.481243008140467e-18,1.0185993447822978e-20,3.846735632586662e-18,6.6574864453310976e-14,1.6767954039079708e-11,2.3158758364375132e-12,0.70528150698749481,0.0,0.0,0.0,8.7207043281766324e-24,1.2653443577359709e-25
0.012583333333333335,2.677355452006609,-2.0453248305952778e-123,2147.0127920101709,101325.0,0.1548128867783753,0.0062090221339010532,0.0013179090140429447,0.00072981818133885151,0.009123286309248229,0.0053676450638614663,0.17796066266962388,1.3654397096725819e-06,9.3902737810442927e-08,2.5547141319959125e-17,1.8576839365159426e-17,4.0373303232655299e-17,2.857258830046689e-18,2.0648634596939409e-16,5.5848391548794026e-17,0.014343624115097183,0.079324519382476352,4.4439275246552117e-09,3.3597122059098887e-11,4.6284491199335738e-16,1.6707263430821162e-17,1.6649912382238419e-17,1.3028671055563698e-23,2.0960322442165586e-21,7.1703323430064355e-26,3.7326459565791029e-26,0.0,0.0,1.5808990354998659e-19,3.2391929292992338e-19,8.6774178783309286e-23,6.1712583229111517e-09,9.0090558877595741e-10,1.5209480888675271e-10,1.9143776492729337e-10,2.4298939135581766e-09,4.6936571810227104e-05,7.9958626035971787e-09,1.1642902800179826e-07,2.1423215407496456e-09,1.0688876169458542e-14,2.1341368220773001e-12,3.2412139311508497e-18,9.0245339955326174e-21,4.2219003247386352e-18,7.1778531574825426e-14,1.7746300392500367e-11,2.3713375456516865e-12,0.70557497630349009,0.0,0.0,0.0,7.0208096306316674e-24,1.0381207903208393e-25
0.012833333333333335,2.6836176469179431,-2.0453248506575e-123,2152.865957239525,101324.99999999997,0.15445164726746183,0.0060155847656177038,0.0012307276822169249,0.00068488175305277035,0.0088511255566287219,0.0052327121669980747,0.1783861933546724,1.2917765931288699e-06,9.0200360484556523e-08,2.5439348473557594e-17,1.6877281054124758e-17,3.6369045853915743e-17,2.5262281937998094e-18,1.8450594413509683e-16,5.1356030726318106e-17,0.013980220845052061,0.07972880497095608,4.0249477644909416e-09,3.1826668702348845e-11,4.0452137986601776e-16,1.4766373489226849e-17,1.5126438119981189e-17,1.1994960367137957e-23,1.9653416071645893e-21,6.1107253645153761e-26,3.1685369125358945e-26,0.0,0.0,1.4709332917393878e-19,2.9092945243986701e-19,8.4097527358220344e-23,6.1739355782819848e-09,8.6362218136676144e-10,1.5337178866035419e-10,1.9993551347525018e-10,2.2776944900134795e-09,4.8442562530536612e-05,8.3521799987153972e-09,1.1611990120266422e-07,2.1290549637299195e-09,1.0699560355662836e-14,2.1814422797858983e-12,3.0384402803183705e-18,8.0686420134579988e-21,4.6019682725434286e-18,7.69509608936615e-14,1.871143768956539e-11,2.4240372846131476e-12,0.70583978401544556,0.0,0.0,0.0,5.7551520424279879e-24,8.6508432556727189e-26
0.013083333333333336,2.6892314610151504,-2.045324870675696e-123,2158.124591917398,101325.00000000001,0.15412923966169972,0.0058406841630701221,0.0011549428814466214,0.00064555125413472386,0.0086043762507895562,0.0051090325964260625,0.17876823875198047,1.2274755498243035e-06,8.6932302990006799e-08,2.5364026056845333e-17,1.5432182322681094e-17,3.3054797577119339e-17,2.2593853939407111e-18,1.6666619310510927e-16,4.7665534131790851e-17,0.013646837504041161,0.08009916508013816,3.6711201705766803e-09,3.0256389664696346e-11,3.5698622251199167e-16,1.3165665361514228e-17,1.3837296256968748e-17,1.1108479353583906e-23,1.8522838287031801e-21,5.2771084668114286e-26,2.7224733968784921e-26,0.0,0.0,1.3765289999326461e-19,2.6358682956393914e-19,8.1774458446277571e-23,6.1700782615205821e-09,8.3140858404403753e-10,1.5467823233921037e-10,2.0830349914717568e-10,2.1446384188967964e-09,4.9903945627787642e-05,8.6985769028322943e-09,1.1575446452481372e-07,2.1179369437935916e-09,1.0706900055528642e-14,2.2269830908465737e-12,2.86418490854087e-18,7.2720975199307108e-21,4.9856912083567489e-18,8.2075323084870154e-14,1.9662795270082439e-11,2.4741794101250259e-12,0.70607981335857317,0.0,0.0,0.0,4.7934088722560072e-24,7.3114548720227716e-26
0.013333333333333334,2.6942975410463297,-2.0453248906663755e-123,2162.8787467961888,101324.99999999999,0.15383944197194077,0.0056817928973647768,0.0010885437224034302,0.00061087669144772253,0.0083794900403036943,0.004995294526899772,0.17911336633630665,1.1708969463678154e-06,8.4025289840831583e-08,2.5306945541980365e-17,1.4191973056572835e-17,3.0276264742399527e-17,2.0409149088604406e-18,1.5198068208170787e-16,4.4594223875180305e-17,0.013340016012850129,0.080439595782358167,3.369390552770894e-09,2.885557682021877e-11,3.1776030589409283e-16,1.1830428893319987e-17,1.2735755261069768e-17,1.0341572146897881e-23,1.7535961162290571e-21,4.6099160400500899e-26,2.3633079783606443e-26,0.0,0.0,1.2946537718852228e-19,2.4064368583191394e-19,7.973894293509826e-23,6.16113864156851e-09,8.0331272486336789e-10,1.5600304071486254e-10,2.1654249527511123e-10,2.0274713735582724e-09,5.1324776167247626e-05,9.035329026755789e-09,1.1534301991080048e-07,2.1087239851719899e-09,1.0710951464749291e-14,2.2706274028542765e-12,2.7126666736367416e-18,6.6008295933352224e-21,5.3718525013601996e-18,8.7142828119984649e-14,2.0599648757997946e-11,2.5219512057091514e-12,0.70629830501638413,0.0,0.0,0.0,4.0484990836784912e-24,6.2568672678836035e-26
